"IDATid","SNPid","SAMPLE_ID","INVENTORY_SAMPLE_NAME","SampleType","Plate","GreenIDAT","RedIDAT"
"5745976036_R03C01","WG0117611.DNAF12",587487,"CL-34","CellLine","WG0117611","5745976036_r03c01_grn.idat","5745976036_r03c01_red.idat"
"5745896029_R03C01","WG0117611.DNAG01",586991,"COLO818","CellLine","WG0117611","5745896029_r03c01_grn.idat","5745896029_r03c01_red.idat"
"5745976005_R02C01","WG0117611.DNAG02",586999,"SK-MEL-24","CellLine","WG0117611","5745976005_r02c01_grn.idat","5745976005_r02c01_red.idat"
"5745976007_R02C01","WG0117611.DNAG03",587410,"HEL","CellLine","WG0117611","5745976007_r02c01_grn.idat","5745976007_r02c01_red.idat"
"5745976012_R02C01","WG0117611.DNAG04",587421,"OCI-AML2","CellLine","WG0117611","5745976012_r02c01_grn.idat","5745976012_r02c01_red.idat"
"5745976014_R02C01","WG0117611.DNAG05",587432,"AU565","CellLine","WG0117611","5745976014_r02c01_grn.idat","5745976014_r02c01_red.idat"
"5745976017_R02C01","WG0117611.DNAG06",587441,"CAL-85-1","CellLine","WG0117611","5745976017_r02c01_grn.idat","5745976017_r02c01_red.idat"
"5745976020_R02C01","WG0117611.DNAG07",587449,"HCC1419","CellLine","WG0117611","5745976020_r02c01_grn.idat","5745976020_r02c01_red.idat"
"5745976023_R02C01","WG0117611.DNAG08",587457,"HCC202","CellLine","WG0117611","5745976023_r02c01_grn.idat","5745976023_r02c01_red.idat"
"5745976025_R02C01","WG0117611.DNAG09",587465,"KPL-4","CellLine","WG0117611","5745976025_r02c01_grn.idat","5745976025_r02c01_red.idat"
"5745976027_R02C01","WG0117611.DNAG10",587473,"MDA-MB-415","CellLine","WG0117611","5745976027_r02c01_grn.idat","5745976027_r02c01_red.idat"
"5745976036_R02C01","WG0117611.DNAG12",587488,"CL-40","CellLine","WG0117611","5745976036_r02c01_grn.idat","5745976036_r02c01_red.idat"
