[Header],,,,,,,,,,,
Institute Name,"BHK Lab",,,,,,,,,,
Investigator Name,Rene Quevedo,,,,,,,,,,
Project Name,InfiniumOmni2.5-8v1.3_A1,,,,,,,,,,
Date,5/30/2017,,,,,,,,,,
,,,,,,,,,,,
[Manifests],,,,,,,,,,,
A,InfiniumOmni2-5-8v1-3_A1,,,,,,,,,,
,,,,,,,,,,,
[Data],,,,,,,,,,,

Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID
Unk189,5745976029,r03c01,_ega-box-147_5745976029_r03c01
Unk190,5745976029,r04c01,_ega-box-147_5745976029_r04c01
Unk191,5745976030,r02c01,_ega-box-147_5745976030_r02c01
Unk192,5745976030,r03c01,_ega-box-147_5745976030_r03c01
Unk193,5745976030,r04c01,_ega-box-147_5745976030_r04c01
Unk194,5745976031,r02c01,_ega-box-147_5745976031_r02c01
Unk195,5745976031,r04c01,_ega-box-147_5745976031_r04c01
Unk196,5745976032,r02c01,_ega-box-147_5745976032_r02c01
Unk197,5745976032,r04c01,_ega-box-147_5745976032_r04c01
Unk198,5745976033,r02c01,_ega-box-147_5745976033_r02c01
Unk199,5745976033,r04c01,_ega-box-147_5745976033_r04c01
Unk200,5745976034,r02c01,_ega-box-147_5745976034_r02c01
Unk201,5745976034,r04c01,_ega-box-147_5745976034_r04c01
Unk202,5745976036,r01c01,_ega-box-147_5745976036_r01c01
Unk203,5745976036,r02c01,_ega-box-147_5745976036_r02c01
Unk204,5745976036,r03c01,_ega-box-147_5745976036_r03c01
Unk205,5745976036,r04c01,_ega-box-147_5745976036_r04c01
Unk206,5745976038,r01c01,_ega-box-147_5745976038_r01c01
Unk207,5745976038,r02c01,_ega-box-147_5745976038_r02c01
Unk208,5745976038,r03c01,_ega-box-147_5745976038_r03c01
Unk209,5745976038,r04c01,_ega-box-147_5745976038_r04c01
Unk210,5745976039,r01c01,_ega-box-147_5745976039_r01c01
Unk211,5745976039,r02c01,_ega-box-147_5745976039_r02c01
Unk212,5745976039,r03c01,_ega-box-147_5745976039_r03c01
Unk213,5745976040,r02c01,_ega-box-147_5745976040_r02c01
Unk214,5745976043,r01c01,_ega-box-147_5745976043_r01c01
